N,f,timeToElection,alpha,timeSpentInNanoSeconds
40,19,500,1.0,500436888
40,19,1000,1.0,305558260
40,19,1000,1.0,791673792
40,19,1000,1.0,380950922
40,19,1000,1.0,97393595
40,19,1000,1.0,966704937
40,19,1500,1.0,188864142
40,19,1500,1.0,582182500
40,19,1500,1.0,1500470583
40,19,1500,1.0,943197113
40,19,1500,1.0,263619009
40,19,2000,1.0,747567255
40,19,2000,1.0,115199577
40,19,2000,1.0,475723383
40,19,2000,1.0,198765139
40,19,2000,1.0,390787874
50,24,10,0.0,19337868
50,24,10,0.0,12848200
50,24,10,0.0,12108525
50,24,10,0.0,26542355
50,24,10,0.0,12466206
50,24,100,0.0,102026573
50,24,100,0.0,102477421
50,24,100,0.0,102850862
50,24,100,0.0,102545488
50,24,100,0.0,103024050
50,24,500,0.0,501688083
50,24,500,0.0,502229406
50,24,500,0.0,214588048
50,24,500,0.0,502423849
50,24,500,0.0,314699436
50,24,1000,0.0,1002052395
50,24,1000,0.0,1001743156
50,24,1000,0.0,1003522640
50,24,1000,0.0,302851789
50,24,1000,0.0,1002353199
50,24,1500,0.0,1480296611
50,24,1500,0.0,744568974
50,24,1500,0.0,1261839539
50,24,1500,0.0,693775493
50,24,1500,0.0,819885978
50,24,2000,0.0,2002446752
50,24,2000,0.0,1221989262
50,24,2000,0.0,2014413579
50,24,2000,0.0,2002046863
50,24,2000,0.0,570340
50,24,10,0.1,10958672
50,24,10,0.1,10860261
50,24,10,0.1,10958446
50,24,10,0.1,10942946
50,24,10,0.1,10943314
50,24,100,0.1,100543779
50,24,100,0.1,101036485
50,24,100,0.1,100906856
50,24,100,0.1,100626385
50,24,100,0.1,101388951
50,24,500,0.1,451988
50,24,500,0.1,48057908
50,24,500,0.1,500452915
50,24,500,0.1,427038224
50,24,500,0.1,28928594
50,24,1000,0.1,1000774623
50,24,1000,0.1,1000515852
50,24,1000,0.1,1000563244
50,24,1000,0.1,1000820273
50,24,1000,0.1,1000708284
